CPT_Code_Range,Treatment_Category
77261-77299,Clinical Treatment Planning (External and Internal Sources) for Radiation Treatment
77300-77370,"Medical Radiation Physics, Dosimetry, Treatment Devices, and Special Services for Radiation Treatment"
77371-77387,Stereotactic Radiation Treatment Delivery
77399-77399,Other Procedures
77401-77417,Radiation Treatment Delivery
77423-77425,Neutron Beam Treatment Delivery
77427-77499,Radiation Treatment Management
77520-77525,Proton Beam Radiation Treatment Delivery
77600-77615,Radiation Hyperthermia Treatment
77620-77620,Clinical Intracavitary Radiation Hyperthermia Treatment
77750-77799,Clinical Brachytherapy Radiation Treatment
