City,Mean_Price,Median_Price,CV_Percent,N_Records,Pct_Income_100K_Plus,Pct_65Plus,Pct_Private_Insurance,Pct_Public_Insurance,Pct_Uninsured,Total_Population,Pct_Hispanic,Diversity_Index,Variation_Group
BARTOW,837.7021276595744,335.7,204.52,1128,39.1,16.6,77.5,19.9,9.9,72104.0,26.4,52.1,HIGH
BOYNTON BEACH,4635.62,4062.84,76.49,48,,,,,,,,,LOW
BRADENTON,2499.2998384821426,485.775,247.95,672,37.2,29.0,74.1,30.1,10.0,260601.0,20.7,42.7,HIGH
BRANDON,7374.111381201414,4501.9132,118.86,283,43.2,15.0,80.6,21.2,7.7,188893.0,28.2,59.4,LOW
CLEARWATER,1476.12993485342,448.09000000000003,277.5,1842,38.9,27.2,78.2,25.8,8.0,333636.0,13.1,40.3,HIGH
CORAL GABLES,6706.2,6706.2,,1,,,,,,,,,LOW
DAYTONA BEACH,3594.975,828.5,336.24,1000,13.3,16.4,69.1,25.2,14.5,47430.0,11.7,62.6,HIGH
DUNEDIN,1312.617952338923,350.32,284.95,2266,,,,,,,,,HIGH
ENGLEWOOD,2953.7255548631583,315.4545,247.22,475,,,,,,,,,HIGH
FT WALTON BEACH,2581.8260836820086,589.7215,247.69,478,,,,,,,,,HIGH
HUDSON,381.0556199999999,276.9588,78.83,24,,,,,,,,,LOW
INVERNESS,5701.6267143421055,1589.35,167.38,228,27.7,36.8,76.7,37.6,8.1,78421.0,6.6,21.9,LOW
JACKSONVILLE,2055.6335786230343,758.4000000000001,165.4,2353,,,,,,,,,LOW
JOE,847.5122222222221,591.34,119.27,36,,,,,,,,,LOW
LAKE PLACID,2323.1306329113922,974.0,192.77,3950,30.6,36.1,60.2,42.5,12.8,24498.0,20.1,35.4,HIGH
MELBOURNE,2221.8967096774195,1654.68,97.0,155,42.7,23.3,85.0,22.9,5.9,138753.0,11.6,38.4,LOW
MIAMI,11935.214285714286,10571.5,30.59,14,35.3,16.9,74.8,20.1,10.2,982254.0,57.8,49.9,LOW
MIAMI BEACH,1507.3868036136803,677.36,158.54,4649,43.7,19.5,83.0,17.0,7.8,127327.0,52.4,38.5,LOW
MIDDLEBURG,834.3481272084805,525.43,126.1,283,,,,,,,,,LOW
NEW PORT RICHEY,1476.12993485342,448.09000000000003,277.47,3684,42.0,21.0,80.9,20.0,7.6,206888.0,15.6,35.5,HIGH
NEW SMYRNA BEACH,1854.356,785.0,174.82,3750,36.3,33.0,79.3,33.2,7.7,63255.0,5.4,19.5,LOW
ORLANDO,6598.462801626017,2777.0,186.83,1230,35.9,12.9,78.8,18.3,9.3,653689.0,33.4,64.2,LOW
PALM COAST,1711.220465116279,742.5,190.47,4300,,,,,,,,,HIGH
PANAMA CITY,7604.89871902439,4620.2300000000005,133.08,205,32.7,17.7,80.9,25.9,7.9,84800.0,9.4,51.6,LOW
PENSACOLA,7919.443125000001,2826.0,146.32,480,31.4,17.6,81.8,25.2,8.5,244848.0,7.0,56.2,LOW
PETERSBURG,1476.12993485342,448.09000000000003,277.5,1842,,,,,,,,,HIGH
PORT CHARLOTTE,1455.5954906981626,314.34,355.58,1905,32.1,36.2,76.0,35.9,8.0,102810.0,10.7,33.8,HIGH
SAFETY HARBOR,1476.12993485342,448.09000000000003,277.5,1842,,,,,,,,,HIGH
SANFORD,3882.6590751295334,1261.6,206.33,386,51.4,15.5,83.5,17.7,6.1,148841.0,21.3,60.9,HIGH
TALLAHASSEE,2170.72828819133,719.4412500000001,236.65,669,,,,,,,,,HIGH
TAMPA,1902.1848571720056,837.0,188.53,9802,38.3,13.6,82.4,17.3,7.5,723610.0,31.5,60.4,HIGH
TARPON SPRINGS,6584.828192693203,934.0,1133.75,3850,48.3,27.8,84.7,20.7,5.6,140351.0,10.0,28.3,HIGH
TAVARES,2149.923974633255,871.0,188.17,4252,33.1,33.7,69.6,32.7,13.5,28634.0,15.3,38.4,HIGH
TRINITY,9032.35625,6000.0,123.03,144,,,,,,,,,LOW
WAUCHULA,3066.697272727273,1151.5,180.67,1100,22.0,16.7,72.0,17.0,16.1,13891.0,42.9,45.4,LOW
WESLEY CHAPEL,2019.3553424657534,858.0,187.87,3650,,,,,,,,,LOW
ZEPHYRHILLS,2160.4916049382714,941.0,187.2,4050,26.1,35.2,73.9,30.7,9.4,63753.0,15.1,31.9,LOW
